0.00.376.717 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.473.840 W srv  llama_server: -----------------
0.00.473.845 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.473.845 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.473.845 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.473.846 W srv  llama_server: -----------------
0.00.475.388 I srv    load_model: loading model 'Qwen/Qwen2.5-1.5B-Instruct-GGUF:fp16'
0.01.056.556 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.972.998 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 2048, kv_unified = 'true'
0.01.977.714 I srv  llama_server: model loaded
0.01.977.723 I srv  llama_server: listening on http://0.0.0.0:8090
0.03.518.128 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.03.518.255 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.04.613.614 I slot print_timing: id  3 | task 0 | prompt eval time =      93.27 ms /    40 tokens (    2.33 ms per token,   428.86 tokens per second)
0.04.613.621 I slot print_timing: id  3 | task 0 |        eval time =    1002.04 ms /    51 tokens (   19.65 ms per token,    50.90 tokens per second)
0.04.613.621 I slot print_timing: id  3 | task 0 |       total time =    1095.31 ms /    91 tokens
0.04.613.628 I slot print_timing: id  3 | task 0 |    graphs reused =         50
0.04.613.671 I slot      release: id  3 | task 0 | stop processing: n_tokens = 90, truncated = 0
0.04.620.508 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.444
0.04.626.563 I slot launch_slot_: id  3 | task 52 | processing task, is_child = 0
0.04.626.590 W slot   operator(): id  3 | task 52 | need to evaluate at least 1 token for each active slot (n_past = 40, task.n_tokens() = 40)
0.04.626.593 W slot   operator(): id  3 | task 52 | n_past was set to 39
0.05.326.531 I slot print_timing: id  3 | task 52 | prompt eval time =      18.43 ms /     1 tokens (   18.43 ms per token,    54.27 tokens per second)
0.05.326.538 I slot print_timing: id  3 | task 52 |        eval time =     681.51 ms /    39 tokens (   17.47 ms per token,    57.23 tokens per second)
0.05.326.539 I slot print_timing: id  3 | task 52 |       total time =     699.93 ms /    40 tokens
0.05.326.540 I slot print_timing: id  3 | task 52 |    graphs reused =         89
0.05.326.566 I slot      release: id  3 | task 52 | stop processing: n_tokens = 78, truncated = 0
0.05.333.633 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.513
0.05.333.702 I slot launch_slot_: id  3 | task 92 | processing task, is_child = 0
0.05.333.719 W slot   operator(): id  3 | task 92 | need to evaluate at least 1 token for each active slot (n_past = 40, task.n_tokens() = 40)
0.05.333.720 W slot   operator(): id  3 | task 92 | n_past was set to 39
