0.00.429.232 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.552.755 W srv  llama_server: -----------------
0.00.552.761 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.552.762 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.552.762 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.552.763 W srv  llama_server: -----------------
0.00.554.884 I srv    load_model: loading model 'Qwen/Qwen2.5-7B-Instruct-GGUF:fp16'
0.01.027.223 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.03.939.541 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 2048, kv_unified = 'true'
0.03.948.226 I srv  llama_server: model loaded
0.03.948.238 I srv  llama_server: listening on http://0.0.0.0:8090
0.05.591.548 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.05.591.726 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.09.093.037 I slot print_timing: id  3 | task 0 | prompt eval time =     209.87 ms /    40 tokens (    5.25 ms per token,   190.59 tokens per second)
0.09.093.051 I slot print_timing: id  3 | task 0 |        eval time =    3291.36 ms /    55 tokens (   59.84 ms per token,    16.71 tokens per second)
0.09.093.053 I slot print_timing: id  3 | task 0 |       total time =    3501.24 ms /    95 tokens
0.09.093.061 I slot print_timing: id  3 | task 0 |    graphs reused =         54
0.09.093.131 I slot      release: id  3 | task 0 | stop processing: n_tokens = 94, truncated = 0
0.09.099.761 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.426
0.09.102.002 I slot launch_slot_: id  3 | task 56 | processing task, is_child = 0
0.09.102.027 W slot   operator(): id  3 | task 56 | need to evaluate at least 1 token for each active slot (n_past = 40, task.n_tokens() = 40)
0.09.102.028 W slot   operator(): id  3 | task 56 | n_past was set to 39
0.12.815.470 I slot print_timing: id  3 | task 56 | prompt eval time =      58.76 ms /     1 tokens (   58.76 ms per token,    17.02 tokens per second)
0.12.815.523 I slot print_timing: id  3 | task 56 |        eval time =    3654.66 ms /    63 tokens (   58.01 ms per token,    17.24 tokens per second)
0.12.815.538 I slot print_timing: id  3 | task 56 |       total time =    3713.43 ms /    64 tokens
0.12.815.552 I slot print_timing: id  3 | task 56 |    graphs reused =        117
0.12.815.602 I slot      release: id  3 | task 56 | stop processing: n_tokens = 102, truncated = 0
0.12.822.239 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.392
0.12.825.254 I slot launch_slot_: id  3 | task 120 | processing task, is_child = 0
0.12.825.309 W slot   operator(): id  3 | task 120 | need to evaluate at least 1 token for each active slot (n_past = 40, task.n_tokens() = 40)
0.12.825.327 W slot   operator(): id  3 | task 120 | n_past was set to 39
0.17.187.306 I slot print_timing: id  3 | task 120 | prompt eval time =      58.64 ms /     1 tokens (   58.64 ms per token,    17.05 tokens per second)
0.17.187.318 I slot print_timing: id  3 | task 120 |        eval time =    4303.35 ms /    74 tokens (   58.15 ms per token,    17.20 tokens per second)
0.17.187.319 I slot print_timing: id  3 | task 120 |       total time =    4361.98 ms /    75 tokens
0.17.187.322 I slot print_timing: id  3 | task 120 |    graphs reused =        191
