0.00.409.444 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.529.497 W srv  llama_server: -----------------
0.00.529.502 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.529.502 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.529.503 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.529.503 W srv  llama_server: -----------------
0.00.531.365 I srv    load_model: loading model 'Qwen/Qwen2.5-7B-Instruct-GGUF:fp16'
0.00.982.758 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.04.583.429 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 2048, kv_unified = 'true'
0.04.591.802 I srv  llama_server: model loaded
0.04.591.813 I srv  llama_server: listening on http://0.0.0.0:8090
0.05.565.613 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.05.565.772 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.05.840.915 I slot print_timing: id  3 | task 0 | prompt eval time =     193.02 ms /    84 tokens (    2.30 ms per token,   435.18 tokens per second)
0.05.840.928 I slot print_timing: id  3 | task 0 |        eval time =      82.04 ms /     2 tokens (   41.02 ms per token,    24.38 tokens per second)
0.05.840.930 I slot print_timing: id  3 | task 0 |       total time =     275.06 ms /    86 tokens
0.05.840.936 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.05.841.024 I slot      release: id  3 | task 0 | stop processing: n_tokens = 85, truncated = 0
0.05.848.283 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.242 (> 0.100 thold), f_keep = 0.282
0.05.852.181 I slot launch_slot_: id  3 | task 3 | processing task, is_child = 0
0.06.028.374 I slot print_timing: id  3 | task 3 | prompt eval time =      99.73 ms /    75 tokens (    1.33 ms per token,   752.02 tokens per second)
0.06.028.384 I slot print_timing: id  3 | task 3 |        eval time =      76.41 ms /     2 tokens (   38.21 ms per token,    26.17 tokens per second)
0.06.028.386 I slot print_timing: id  3 | task 3 |       total time =     176.14 ms /    77 tokens
0.06.028.389 I slot print_timing: id  3 | task 3 |    graphs reused =          1
0.06.028.428 I slot      release: id  3 | task 3 | stop processing: n_tokens = 100, truncated = 0
0.06.035.544 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.233 (> 0.100 thold), f_keep = 0.240
0.06.051.125 I slot launch_slot_: id  3 | task 6 | processing task, is_child = 0
0.06.219.923 I slot print_timing: id  3 | task 6 | prompt eval time =      94.84 ms /    78 tokens (    1.22 ms per token,   822.46 tokens per second)
0.06.219.934 I slot print_timing: id  3 | task 6 |        eval time =      73.92 ms /     2 tokens (   36.96 ms per token,    27.06 tokens per second)
0.06.219.935 I slot print_timing: id  3 | task 6 |       total time =     168.76 ms /    80 tokens
0.06.219.938 I slot print_timing: id  3 | task 6 |    graphs reused =          1
0.06.219.977 I slot      release: id  3 | task 6 | stop processing: n_tokens = 104, truncated = 0
0.06.226.771 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.212 (> 0.100 thold), f_keep = 0.231
0.06.229.900 I slot launch_slot_: id  3 | task 9 | processing task, is_child = 0
0.06.374.797 I slot print_timing: id  3 | task 9 | prompt eval time =      84.65 ms /    89 tokens (    0.95 ms per token,  1051.40 tokens per second)
0.06.374.810 I slot print_timing: id  3 | task 9 |        eval time =      60.20 ms /     2 tokens (   30.10 ms per token,    33.22 tokens per second)
0.06.374.811 I slot print_timing: id  3 | task 9 |       total time =     144.85 ms /    91 tokens
0.06.374.813 I slot print_timing: id  3 | task 9 |    graphs reused =          1
0.06.374.853 I slot      release: id  3 | task 9 | stop processing: n_tokens = 114, truncated = 0
