0.00.408.332 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.529.533 W srv  llama_server: -----------------
0.00.529.539 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.529.540 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.529.540 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.529.541 W srv  llama_server: -----------------
0.00.531.595 I srv    load_model: loading model 'Qwen/Qwen2.5-7B-Instruct-GGUF:fp16'
0.00.984.246 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.03.886.725 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 2048, kv_unified = 'true'
0.03.894.769 I srv  llama_server: model loaded
0.03.894.779 I srv  llama_server: listening on http://0.0.0.0:8090
0.05.514.138 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.05.514.292 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.09.266.013 I slot print_timing: id  3 | task 0 | prompt eval time =     213.10 ms /    40 tokens (    5.33 ms per token,   187.71 tokens per second)
0.09.266.020 I slot print_timing: id  3 | task 0 |        eval time =    3538.53 ms /    59 tokens (   59.98 ms per token,    16.67 tokens per second)
0.09.266.022 I slot print_timing: id  3 | task 0 |       total time =    3751.63 ms /    99 tokens
0.09.266.031 I slot print_timing: id  3 | task 0 |    graphs reused =         58
0.09.266.086 I slot      release: id  3 | task 0 | stop processing: n_tokens = 98, truncated = 0
0.09.272.916 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.408
0.09.275.929 I slot launch_slot_: id  3 | task 60 | processing task, is_child = 0
0.09.275.963 W slot   operator(): id  3 | task 60 | need to evaluate at least 1 token for each active slot (n_past = 40, task.n_tokens() = 40)
0.09.275.964 W slot   operator(): id  3 | task 60 | n_past was set to 39
0.12.170.975 I slot print_timing: id  3 | task 60 | prompt eval time =      59.20 ms /     1 tokens (   59.20 ms per token,    16.89 tokens per second)
0.12.170.983 I slot print_timing: id  3 | task 60 |        eval time =    2835.78 ms /    49 tokens (   57.87 ms per token,    17.28 tokens per second)
0.12.170.985 I slot print_timing: id  3 | task 60 |       total time =    2894.98 ms /    50 tokens
0.12.170.987 I slot print_timing: id  3 | task 60 |    graphs reused =        107
0.12.171.020 I slot      release: id  3 | task 60 | stop processing: n_tokens = 88, truncated = 0
0.12.178.780 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.455
0.12.182.511 I slot launch_slot_: id  3 | task 110 | processing task, is_child = 0
0.12.182.543 W slot   operator(): id  3 | task 110 | need to evaluate at least 1 token for each active slot (n_past = 40, task.n_tokens() = 40)
0.12.182.544 W slot   operator(): id  3 | task 110 | n_past was set to 39
0.15.125.845 I slot print_timing: id  3 | task 110 | prompt eval time =      58.77 ms /     1 tokens (   58.77 ms per token,    17.02 tokens per second)
0.15.125.853 I slot print_timing: id  3 | task 110 |        eval time =    2884.52 ms /    50 tokens (   57.69 ms per token,    17.33 tokens per second)
0.15.125.854 I slot print_timing: id  3 | task 110 |       total time =    2943.29 ms /    51 tokens
0.15.125.857 I slot print_timing: id  3 | task 110 |    graphs reused =        157
0.15.125.888 I slot      release: id  3 | task 110 | stop processing: n_tokens = 89, truncated = 0
0.15.132.276 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.449
0.15.139.338 I slot launch_slot_: id  3 | task 161 | processing task, is_child = 0
0.15.139.365 W slot   operator(): id  3 | task 161 | need to evaluate at least 1 token for each active slot (n_past = 40, task.n_tokens() = 40)
0.15.139.368 W slot   operator(): id  3 | task 161 | n_past was set to 39
0.17.899.748 I slot print_timing: id  3 | task 161 | prompt eval time =      58.87 ms /     1 tokens (   58.87 ms per token,    16.99 tokens per second)
0.17.899.756 I slot print_timing: id  3 | task 161 |        eval time =    2701.50 ms /    47 tokens (   57.48 ms per token,    17.40 tokens per second)
0.17.899.758 I slot print_timing: id  3 | task 161 |       total time =    2760.36 ms /    48 tokens
0.17.899.760 I slot print_timing: id  3 | task 161 |    graphs reused =        204
0.17.899.788 I slot      release: id  3 | task 161 | stop processing: n_tokens = 86, truncated = 0
0.17.909.256 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.465
0.17.911.683 I slot launch_slot_: id  3 | task 209 | processing task, is_child = 0
